Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,10/01/2025,Starbucks Store #1234,-5.45,POS,-1523.67,
DEBIT,10/01/2025,Amazon Marketplace,-43.27,ACH_DEBIT,-1566.94,
CREDIT,10/02/2025,Direct Deposit PAYROLL,2450.0,ACH_CREDIT,883.06,
DEBIT,10/03/2025,Shell Gas Station,-48.2,POS,834.86,
DEBIT,10/03/2025,Spotify USA,-9.99,ACH_DEBIT,824.87,
DEBIT,10/04/2025,Target Store #556,-126.78,POS,698.09,
CREDIT,10/05/2025,Venmo Payment From JOHN DOE,65.0,ACH_CREDIT,763.09,
DEBIT,10/06/2025,McDonald's #1043,-9.23,POS,753.86,
DEBIT,10/06/2025,Rent Payment,-1200.0,ACH_DEBIT,-446.14,
CREDIT,10/07/2025,Refund AMAZON.COM,43.27,ACH_CREDIT,-402.87,
DEBIT,10/08/2025,Netflix Subscription,-15.49,ACH_DEBIT,-418.36,
DEBIT,10/08/2025,Kroger Grocery,-93.42,POS,-511.78,
CREDIT,10/10/2025,PayPal Transfer From Alice,120.0,ACH_CREDIT,-391.78,
DEBIT,10/10/2025,Uber Trip,-23.87,ACH_DEBIT,-415.65,
DEBIT,10/11/2025,Walgreens Store #340,-14.55,POS,-430.2,
CREDIT,10/12/2025,ATM Deposit,300.0,ATM,-130.2,
DEBIT,10/13/2025,Chipotle Mexican Grill,-11.83,POS,-142.03,
DEBIT,10/14/2025,Electric Bill Payment,-87.6,ACH_DEBIT,-229.63,
DEBIT,10/15/2025,Spotify Family Plan,-14.99,ACH_DEBIT,-244.62,
DEBIT,10/15/2025,Best Buy #023,-256.45,POS,-501.07,
